family,scientific_name,spanish_name,english_name,species_code,category,notes,ebird_picture,IUCN_status,IUCN_comment
Accipitridae,Spizaetus tyrannus, Águila Azor Negra, Black Hawk-Eagle, https://ebird.org/species/blheag1,VU,,https://macaulaylibrary.org/asset/100210141, IUCN_LC, IUCN update 2024
Accipitridae,Spizaetus melanoleucus, Águila Azor Blanquinegra, Black-and-white Hawk-Eagle, https://ebird.org/species/bawhae1,VU,,https://macaulaylibrary.org/asset/408637251, IUCN_LC, IUCN update 2024
Accipitridae,Circus cinereus, Aguilucho Cinéreo, Cinereous Harrier, https://ebird.org/species/cinhar1,VU,,https://macaulaylibrary.org/asset/619909303, IUCN_LC, IUCN update 2024
Accipitridae,Cryptoleucopteryx plumbea, Gavilán Plomizo, Plumbeous Hawk, https://ebird.org/species/pluhaw,VU,,https://macaulaylibrary.org/asset/186674091, IUCN_NT, IUCN update 2024
Accipitridae,Buteogallus anthracinus, Gavilán Negro Cangrejero, Common Black Hawk, https://ebird.org/species/comblh1,VU,,https://macaulaylibrary.org/asset/466759091, IUCN_LC, IUCN update 2024
Accipitridae,Leucopternis semiplumbeus, Gavilán Semiplomizo, Semiplumbeous Hawk, https://ebird.org/species/semhaw,VU,,https://macaulaylibrary.org/asset/205021761, IUCN_LC, IUCN update 2024
Rallidae,Aramides wolfi, Rascón Montés Moreno, Brown Wood-Rail, https://ebird.org/species/brwrai1,VU,,https://macaulaylibrary.org/asset/69897491, IUCN_VU, IUCN update 2024
Rallidae,Aramides axillaris, Rascón Montés Cuellirrufo, Rufous-necked Wood-Rail, https://ebird.org/species/rnwrai1,VU,,https://macaulaylibrary.org/asset/205909601, IUCN_LC, IUCN update 2024
Charadriidae,Anarhynchus nivosus, Chorlo Níveo,Snowy Plover,https://ebird.org/species/snoplo5,VU,"En la lista, esta como Charadrius nivosus",https://macaulaylibrary.org/asset/32240941, IUCN_NT, IUCN update 2024
Scolopacidae,Gallinago imperialis, Becasina Imperial, Imperial Snipe, https://ebird.org/species/impsni1,VU,,https://macaulaylibrary.org/asset/551655721, IUCN_NT, IUCN update 2024
Columbidae,Leptotrygon veraguensis, Paloma Perdiz Dorsioliva, Olive-backed Quail-Dove, https://ebird.org/species/obqdov1,VU,,https://macaulaylibrary.org/asset/468963331, IUCN_LC, IUCN update 2024
Columbidae,Leptotila ochraceiventris, Paloma Ventiocrácea, Ochre-bellied Dove, https://ebird.org/species/ocbdov1,VU,,https://macaulaylibrary.org/asset/204107931, IUCN_VU, IUCN update 2024
Trochilidae,Chalcostigma stanleyi, Picoespina Dorsiazul, Blue-mantled Thornbill, https://ebird.org/species/blmtho1,VU,,https://macaulaylibrary.org/asset/39592981, IUCN_LC, IUCN update 2024
Trochilidae,Haplophaedia lugens, Zamarrito Canoso, Hoary Puffleg, https://ebird.org/species/hoapuf1,VU,,https://macaulaylibrary.org/asset/113639451, IUCN_NT, IUCN update 2024
Trochilidae,Eriocnemis derbyi, Zamarrito Muslinegro, Black-thighed Puffleg, https://ebird.org/species/bltpuf1,VU,,https://macaulaylibrary.org/asset/623635328, IUCN_LC, IUCN update 2024
Trochilidae,Heliodoxa gularis, Brillante Gorgirrosado, Pink-throated Brilliant, https://ebird.org/species/pitbri1,VU,,https://macaulaylibrary.org/asset/630378201, IUCN_LC, IUCN update 2024
Trochilidae,Chaetocercus bombus, Estrellita Chica, Little Woodstar, https://ebird.org/species/litwoo5,VU,,https://macaulaylibrary.org/asset/75799281, IUCN_NT, IUCN update 2024
Trochilidae,Chalybura urochrysia, Calzonario Patirrojo (Colibronceado), Bronze-tailed Plumeleteer, https://ebird.org/species/brtplu1,VU,,https://macaulaylibrary.org/asset/579618041, IUCN_LC, IUCN update 2024
Trogonidae,Trogon massena, Trogón Colipizarroso, Slaty-tailed Trogon, https://ebird.org/species/slttro1,VU,,https://macaulaylibrary.org/asset/205002351, IUCN_LC, IUCN update 2024
Trogonidae,Trogon mesurus, Trogón Ecuatoriano, Ecuadorian Trogon, https://ebird.org/species/bkttro2,VU,,https://macaulaylibrary.org/asset/162944491, IUCN_LC, IUCN update 2024
Galbulidae,Galbula pastazae, Jacamar Pechicobrizo, Coppery-chested Jacamar, https://ebird.org/species/cocjac2,VU,,https://macaulaylibrary.org/asset/134847871, IUCN_LC, IUCN update 2024
Bucconidae,Notharchus pectoralis, Buco Pechinegro, Black-breasted Puffbird, https://ebird.org/species/blbpuf1,VU,,https://macaulaylibrary.org/asset/554110821, IUCN_LC, IUCN update 2024
Ramphastidae,Andigena hypoglauca, Tucán Andino Pechigrís, Gray-breasted Mountain-Toucan, https://ebird.org/species/gybmot1,VU,,https://macaulaylibrary.org/asset/33105551, IUCN_LC, IUCN update 2024
Ramphastidae,Andigena laminirostris, Tucán Andino Piquilaminado, Plate-billed Mountain-Toucan, https://ebird.org/species/pbmtou1,VU,,https://macaulaylibrary.org/asset/266546811, IUCN_NT, IUCN update 2024
Picidae,Dryobates chocoensis, Carpintero del Chocó,Choco Woodpecker,https://ebird.org/species/chowoo1,VU,"En la lista, esta como Veniliornis chocoensis",https://macaulaylibrary.org/asset/138819801, IUCN_LC, IUCN update 2024
Picidae,Campephilus gayaquilensis, Carpintero Guayaquileño, Guayaquil Woodpecker, https://ebird.org/species/guawoo2,VU,,https://macaulaylibrary.org/asset/121433471, IUCN_LC, IUCN update 2024
Falconidae,Falco femoralis, Halcón Aplomado, Aplomado Falcon, https://ebird.org/species/aplfal,VU,,https://macaulaylibrary.org/asset/534893731, IUCN_LC, IUCN update 2024
Psittacidae,Touit stictopterus, Periquito Alipunteado, Spot-winged Parrotlet, https://ebird.org/species/spwpar2,VU,,https://macaulaylibrary.org/asset/214092531, IUCN_NT, IUCN update 2024
Psittacidae,Brotogeris pyrrhoptera, Perico Cachetigrís, Gray-cheeked Parakeet, https://ebird.org/species/gycpar1,VU,,https://macaulaylibrary.org/asset/80951261, IUCN_VU, IUCN update 2024
Psittacidae,Pyrilia pulchra, Loro Cachetirrosa, Rose-faced Parrot, https://ebird.org/species/rofpar2,VU,,https://macaulaylibrary.org/asset/121442721, IUCN_LC, IUCN update 2024
Psittacidae,Pyrrhura albipectus, Perico Pechiblanco, White-necked Parakeet, https://ebird.org/species/whnpar1,VU,,https://macaulaylibrary.org/asset/133596791, IUCN_VU, IUCN update 2024
Psittacidae,Ara chloropterus, Guacamayo Rojo y Verde, Red-and-green Macaw, https://ebird.org/species/ragmac1,VU,,https://macaulaylibrary.org/asset/622926268, IUCN_LC, IUCN update 2024
Thamnophilidae,Thamnophilus praecox, Batará de Cocha, Cocha Antshrike, https://ebird.org/species/cocant1,VU,,https://macaulaylibrary.org/asset/121254251, IUCN_NT, IUCN update 2024
Thamnophilidae,Thamnophilus punctatus, Batará Pizarroso Norteño, Northern Slaty-Antshrike, https://ebird.org/species/norsla1,VU,,https://macaulaylibrary.org/asset/459489881, IUCN_LC, IUCN update 2024
Thamnophilidae,Myrmotherula behni, Hormiguerito Alillano, Plain-winged Antwren, https://ebird.org/species/plwant2,VU,,https://macaulaylibrary.org/asset/608320692, IUCN_LC, IUCN update 2024
Thamnophilidae,Myrmelastes schistaceus, Hormiguero Pizarroso,Slate-colored Antbird,https://ebird.org/species/slcant3,VU,"En la lista, esta como Schistocichla schistacea",https://macaulaylibrary.org/asset/204905151, IUCN_LC, IUCN update 2024
Thamnophilidae,Sipia nigricauda, Hormiguero Esmeraldeño,Esmeraldas Antbird,https://ebird.org/species/esmant1,VU,"En la lista, esta como Myrmeciza nigricauda",https://macaulaylibrary.org/asset/121532921, IUCN_LC, IUCN update 2024
Thamnophilidae,Sipia berlepschi, Hormiguero Colimocho,Stub-tailed Antbird,https://ebird.org/species/sttant3,VU,"En la lista, esta como Myrmeciza berlepschi",https://macaulaylibrary.org/asset/117827191, IUCN_LC, IUCN update 2024
Grallariidae,Grallaria gigantea, Gralaria (Tororoi) Gigante, Giant Antpitta, https://ebird.org/species/giaant1,VU,,https://macaulaylibrary.org/asset/40914551, IUCN_VU, IUCN update 2024
Grallariidae,Grallaria alleni, Gralaria (Tororoi) Bigotudo, Moustached Antpitta, https://ebird.org/species/mouant1,VU,,https://macaulaylibrary.org/asset/87340721, IUCN_VU, IUCN update 2024
Grallariidae,Grallaria flavotincta, Gralaria Ventriamarillenta (Tororoi Pechiamarillento), Yellow-breasted Antpitta, https://ebird.org/species/yebant1,VU,,https://macaulaylibrary.org/asset/108714401, IUCN_LC, IUCN update 2024
Grallariidae,Hylopezus perspicillatus, Tororoi Pechirrayado, Streak-chested Antpitta, https://ebird.org/species/stcant2,VU,,https://macaulaylibrary.org/asset/303365971, IUCN_LC, IUCN update 2024
Grallariidae,Grallaricula peruviana, Gralarita Peruana (Tororito Peruano), Peruvian Antpitta, https://ebird.org/species/perant1,VU,,https://macaulaylibrary.org/asset/107966211, IUCN_NT, IUCN update 2024
Grallariidae,Grallaricula lineifrons, Gralarita Carilunada (Tororito Cariluna), Crescent-faced Antpitta, https://ebird.org/species/crfant1,VU,,https://macaulaylibrary.org/asset/133975651, IUCN_LC, IUCN update 2024
Furnariidae,Sclerurus guatemalensis, Tirahojas Goliescamoso, Scaly-throated Leaftosser, https://ebird.org/species/sctlea1,VU,,https://macaulaylibrary.org/asset/143059931, IUCN_LC, IUCN update 2024
Furnariidae,Syndactyla ruficollis, Limpiafronda Cuellirrufa, Rufous-necked Foliage-gleaner, https://ebird.org/species/rnfgle1,VU,,https://macaulaylibrary.org/asset/162958221, IUCN_LC, IUCN update 2024
Furnariidae,Clibanornis erythrocephalus, Rascahojas Capuchirrufo, Henna-hooded Foliage-gleaner, https://ebird.org/species/hhfgle1,VU,,https://macaulaylibrary.org/asset/632998937, IUCN_NT, IUCN update 2024
Furnariidae,Margarornis stellatus, Subepalo Estrellado, Fulvous-dotted Treerunner, https://ebird.org/species/fudtre1,VU,,https://macaulaylibrary.org/asset/617220917, IUCN_LC, IUCN update 2024
Furnariidae,Xenerpestes minlosi, Colagrís Alibandeado, Double-banded Graytail, https://ebird.org/species/dobgra1,VU,,https://macaulaylibrary.org/asset/205202551, IUCN_LC, IUCN update 2024
